MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,San Diego,San Francisco,Los Angeles,San Jose,Fresno,Sacramento
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,4.526,735.5042567007138,20.329541610139717,556.5311990142241,67.42486544865353,250.60687037085864,101.06623951755314
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585,733.2393305315497,19.908065158335575,554.2818853837493,65.0443778150216,248.74686307600993,102.25430777037168
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521,733.528119552689,17.835390348575256,554.6127387775997,64.88303523827196,249.73877015762784,104.21486474200675
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413,734.0977242547541,17.064123285131213,555.196283441792,65.31076430794005,250.50757443229654,104.76312242051311
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422,734.0977242547541,17.064123285131213,555.196283441792,65.31076430794005,250.50757443229654,104.76312242051311
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,734.0977242547541,17.064123285131213,555.196283441792,65.31076430794005,250.50757443229654,104.76312242051311
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,2.992,733.2522387297427,16.5493067405044,554.3664193761562,64.34524059578757,249.97326416095996,105.6317047151904
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,733.2522387297427,16.5493067405044,554.3664193761562,64.34524059578757,249.97326416095996,105.6317047151904
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,733.8232514662566,15.763967284619216,554.9517576079999,64.78856281131532,250.74457247832447,106.17990889958165
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,733.2522387297427,16.5493067405044,554.3664193761562,64.34524059578757,249.97326416095996,105.6317047151904
3.2031,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,2.815,734.6680054478936,16.30370674270773,555.7806706787677,65.74751771264371,251.2771393049592,105.31577280085934
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418,734.6680054478936,16.30370674270773,555.7806706787677,65.74751771264371,251.2771393049592,105.31577280085934
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135,734.6680054478936,16.30370674270773,555.7806706787677,65.74751771264371,251.2771393049592,105.31577280085934
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913,733.8232514662566,15.763967284619216,554.9517576079999,64.78856281131532,250.74457247832447,106.17990889958165
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26,1.592,734.6680054478936,16.30370674270773,555.7806706787677,65.74751771264371,251.2771393049592,105.31577280085934
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4,734.6680054478936,16.30370674270773,555.7806706787677,65.74751771264371,251.2771393049592,105.31577280085934
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.525,735.238961552148,15.555732042007362,556.3658978273564,66.19311681544528,252.04745780014701,105.87274708763151
2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,1.555,735.238961552148,15.555732042007362,556.3658978273564,66.19311681544528,252.04745780014701,105.87274708763151
1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,1.587,733.8232514662566,15.763967284619216,554.9517576079999,64.78856281131532,250.74457247832447,106.17990889958165
2.6033,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,37.84,-122.27,1.629,734.3949388989157,14.988975296848977,555.5379351929855,65.2407728510279,251.51662574629123,106.73244899678187
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475,735.238961552148,15.555732042007362,556.3658978273564,66.19311681544528,252.04745780014701,105.87274708763151
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,1.598,735.238961552148,15.555732042007362,556.3658978273564,66.19311681544528,252.04745780014701,105.87274708763151
1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,1.139,734.3949388989157,14.988975296848977,555.5379351929855,65.2407728510279,251.51662574629123,106.73244899678187
2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,0.997,734.3949388989157,14.988975296848977,555.5379351929855,65.2407728510279,251.51662574629123,106.73244899678187
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.326,734.3949388989157,14.988975296848977,555.5379351929855,65.2407728510279,251.51662574629123,106.73244899678187
2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,37.85,-122.28,1.075,735.8105909905903,14.822082889883042,556.9519622337499,66.64738418668126,252.81852302059013,106.43397739275804
2.4597,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,0.938,735.8105909905903,14.822082889883042,556.9519622337499,66.64738418668126,252.81852302059013,106.43397739275804
1.808,52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,1.055,735.8105909905903,14.822082889883042,556.9519622337499,66.64738418668126,252.81852302059013,106.43397739275804
1.6424,50.0,4.40169133192389,1.040169133192389,1131.0,2.3911205073995774,37.84,-122.28,1.089,734.9672994474715,14.226021986526495,556.1249494708185,65.70168719138262,252.28941711719355,107.28925801051788
1.6875,52.0,4.703225806451613,1.032258064516129,395.0,2.5483870967741935,37.84,-122.28,1.32,734.9672994474715,14.226021986526495,556.1249494708185,65.70168719138262,252.28941711719355,107.28925801051788
1.9274,49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28,1.223,734.9672994474715,14.226021986526495,556.1249494708185,65.70168719138262,252.28941711719355,107.28925801051788
1.9615,52.0,4.882086167800454,1.090702947845805,1168.0,2.6485260770975056,37.84,-122.28,1.152,734.9672994474715,14.226021986526495,556.1249494708185,65.70168719138262,252.28941711719355,107.28925801051788
1.7969,48.0,5.737313432835821,1.2208955223880598,1026.0,3.062686567164179,37.84,-122.27,1.104,734.3949388989157,14.988975296848977,555.5379351929855,65.2407728510279,251.51662574629123,106.73244899678187
1.375,49.0,5.0303951367781155,1.1124620060790273,754.0,2.291793313069909,37.83,-122.27,1.049,733.5516274857764,14.48553831851408,554.7109631834887,64.29355340645644,250.98959527902204,107.59677286914906
2.7303,51.0,4.972014925373134,1.0708955223880596,1258.0,2.3470149253731343,37.83,-122.27,1.097,733.5516274857764,14.48553831851408,554.7109631834887,64.29355340645644,250.98959527902204,107.59677286914906
1.4861,49.0,4.6022727272727275,1.0681818181818181,570.0,2.159090909090909,37.83,-122.27,0.972,733.5516274857764,14.48553831851408,554.7109631834887,64.29355340645644,250.98959527902204,107.59677286914906
